cve_estado,estado,anio,pobreza_pct,pobreza_ext_pct,carencias_pct,gini,fuente
01,AGUASCALIENTES,2010,38.1307,3.7661,64.3426,,CONEVAL anexos estatales
01,AGUASCALIENTES,2011,37.9448,3.5781,63.291,,CONEVAL anexos estatales
01,AGUASCALIENTES,2012,37.7589,3.3902,62.2394,,CONEVAL anexos estatales
01,AGUASCALIENTES,2013,36.2624,2.7435,61.158,,CONEVAL anexos estatales
01,AGUASCALIENTES,2014,34.7659,2.0967,60.0766,,CONEVAL anexos estatales
01,AGUASCALIENTES,2015,31.8562,2.1566,57.0622,,CONEVAL anexos estatales
01,AGUASCALIENTES,2016,28.9465,2.2166,54.0477,,CONEVAL anexos estatales
01,AGUASCALIENTES,2017,27.6059,1.6024,52.926,,CONEVAL anexos estatales
01,AGUASCALIENTES,2018,26.2654,0.9883,51.8042,,CONEVAL anexos estatales
01,AGUASCALIENTES,2019,26.9461,1.7026,52.5085,,CONEVAL anexos estatales
01,AGUASCALIENTES,2020,27.6267,2.4169,53.2129,,CONEVAL anexos estatales
01,AGUASCALIENTES,2021,25.6745,2.0878,53.4148,,CONEVAL anexos estatales
01,AGUASCALIENTES,2022,23.7223,1.7586,53.6167,,CONEVAL anexos estatales
01,AGUASCALIENTES,2023,23.7223,1.7586,53.6167,,CONEVAL anexos estatales
01,AGUASCALIENTES,2024,23.7223,1.7586,53.6167,,CONEVAL anexos estatales
02,BAJA CALIFORNIA,2010,31.5202,3.373,69.4086,,CONEVAL anexos estatales
02,BAJA CALIFORNIA,2011,30.8648,3.0549,68.6262,,CONEVAL anexos estatales
02,BAJA CALIFORNIA,2012,30.2094,2.7368,67.8439,,CONEVAL anexos estatales
02,BAJA CALIFORNIA,2013,29.4037,2.9007,67.3775,,CONEVAL anexos estatales
02,BAJA CALIFORNIA,2014,28.598,3.0645,66.9112,,CONEVAL anexos estatales
02,BAJA CALIFORNIA,2015,25.6014,2.0128,61.5472,,CONEVAL anexos estatales
02,BAJA CALIFORNIA,2016,22.6049,0.961,56.1831,,CONEVAL anexos estatales
02,BAJA CALIFORNIA,2017,23.1018,1.1562,56.8463,,CONEVAL anexos estatales
02,BAJA CALIFORNIA,2018,23.5987,1.3513,57.5095,,CONEVAL anexos estatales
02,BAJA CALIFORNIA,2019,23.0544,1.4422,57.1857,,CONEVAL anexos estatales
02,BAJA CALIFORNIA,2020,22.5101,1.5331,56.862,,CONEVAL anexos estatales
02,BAJA CALIFORNIA,2021,17.9405,1.4195,54.1415,,CONEVAL anexos estatales
02,BAJA CALIFORNIA,2022,13.3708,1.3059,51.4211,,CONEVAL anexos estatales
02,BAJA CALIFORNIA,2023,13.3708,1.3059,51.4211,,CONEVAL anexos estatales
02,BAJA CALIFORNIA,2024,13.3708,1.3059,51.4211,,CONEVAL anexos estatales
03,BAJA CALIFORNIA SUR,2010,30.9947,4.626,63.5408,,CONEVAL anexos estatales
03,BAJA CALIFORNIA SUR,2011,30.5518,4.1508,61.8045,,CONEVAL anexos estatales
03,BAJA CALIFORNIA SUR,2012,30.1088,3.6756,60.0683,,CONEVAL anexos estatales
03,BAJA CALIFORNIA SUR,2013,30.1858,3.8107,62.3473,,CONEVAL anexos estatales
03,BAJA CALIFORNIA SUR,2014,30.2627,3.9457,64.6262,,CONEVAL anexos estatales
03,BAJA CALIFORNIA SUR,2015,26.5714,2.7165,60.8076,,CONEVAL anexos estatales
03,BAJA CALIFORNIA SUR,2016,22.88,1.4872,56.989,,CONEVAL anexos estatales
03,BAJA CALIFORNIA SUR,2017,20.7261,1.3274,56.6511,,CONEVAL anexos estatales
03,BAJA CALIFORNIA SUR,2018,18.5722,1.1676,56.3132,,CONEVAL anexos estatales
03,BAJA CALIFORNIA SUR,2019,23.0872,2.0316,56.9402,,CONEVAL anexos estatales
03,BAJA CALIFORNIA SUR,2020,27.6022,2.8957,57.5672,,CONEVAL anexos estatales
03,BAJA CALIFORNIA SUR,2021,20.4656,1.8287,54.3031,,CONEVAL anexos estatales
03,BAJA CALIFORNIA SUR,2022,13.329,0.7617,51.0391,,CONEVAL anexos estatales
03,BAJA CALIFORNIA SUR,2023,13.329,0.7617,51.0391,,CONEVAL anexos estatales
03,BAJA CALIFORNIA SUR,2024,13.329,0.7617,51.0391,,CONEVAL anexos estatales
04,CAMPECHE,2010,50.505,13.7844,75.4269,,CONEVAL anexos estatales
04,CAMPECHE,2011,47.5846,12.1163,74.3464,,CONEVAL anexos estatales
04,CAMPECHE,2012,44.6642,10.4482,73.266,,CONEVAL anexos estatales
04,CAMPECHE,2013,44.126,10.7554,74.4527,,CONEVAL anexos estatales
04,CAMPECHE,2014,43.5878,11.0627,75.6394,,CONEVAL anexos estatales
04,CAMPECHE,2015,44.624,8.8053,74.933,,CONEVAL anexos estatales
04,CAMPECHE,2016,45.6602,6.548,74.2266,,CONEVAL anexos estatales
04,CAMPECHE,2017,47.3122,8.0116,75.1377,,CONEVAL anexos estatales
04,CAMPECHE,2018,48.9643,9.4752,76.0487,,CONEVAL anexos estatales
04,CAMPECHE,2019,49.7567,10.7602,73.8066,,CONEVAL anexos estatales
04,CAMPECHE,2020,50.5491,12.0452,71.5644,,CONEVAL anexos estatales
04,CAMPECHE,2021,47.8393,10.8441,72.1973,,CONEVAL anexos estatales
04,CAMPECHE,2022,45.1294,9.643,72.8302,,CONEVAL anexos estatales
04,CAMPECHE,2023,45.1294,9.643,72.8302,,CONEVAL anexos estatales
04,CAMPECHE,2024,45.1294,9.643,72.8302,,CONEVAL anexos estatales
05,COAHUILA,2010,27.8109,2.9367,53.4,,CONEVAL anexos estatales
05,COAHUILA,2011,27.8684,3.0876,52.8799,,CONEVAL anexos estatales
05,COAHUILA,2012,27.926,3.2386,52.3599,,CONEVAL anexos estatales
05,COAHUILA,2013,29.0487,3.4877,53.369,,CONEVAL anexos estatales
05,COAHUILA,2014,30.1714,3.7368,54.3782,,CONEVAL anexos estatales
05,COAHUILA,2015,28.6135,2.831,50.98,,CONEVAL anexos estatales
05,COAHUILA,2016,27.0557,1.9251,47.5818,,CONEVAL anexos estatales
05,COAHUILA,2017,26.2817,1.7276,47.5653,,CONEVAL anexos estatales
05,COAHUILA,2018,25.5077,1.53,47.5487,,CONEVAL anexos estatales
05,COAHUILA,2019,25.5624,2.0422,47.2013,,CONEVAL anexos estatales
05,COAHUILA,2020,25.617,2.5544,46.8539,,CONEVAL anexos estatales
05,COAHUILA,2021,21.9302,2.1753,44.6088,,CONEVAL anexos estatales
05,COAHUILA,2022,18.2433,1.7962,42.3636,,CONEVAL anexos estatales
05,COAHUILA,2023,18.2433,1.7962,42.3636,,CONEVAL anexos estatales
05,COAHUILA,2024,18.2433,1.7962,42.3636,,CONEVAL anexos estatales
06,COLIMA,2010,34.6928,2.5211,68.4466,,CONEVAL anexos estatales
06,COLIMA,2011,34.5544,3.2504,67.3026,,CONEVAL anexos estatales
06,COLIMA,2012,34.4159,3.9798,66.1585,,CONEVAL anexos estatales
06,COLIMA,2013,34.3808,3.6975,66.8422,,CONEVAL anexos estatales
06,COLIMA,2014,34.3457,3.4153,67.5259,,CONEVAL anexos estatales
06,COLIMA,2015,33.4395,2.7836,65.0973,,CONEVAL anexos estatales
06,COLIMA,2016,32.5332,2.1519,62.6686,,CONEVAL anexos estatales
06,COLIMA,2017,31.472,2.0343,62.7958,,CONEVAL anexos estatales
06,COLIMA,2018,30.4108,1.9167,62.9231,,CONEVAL anexos estatales
06,COLIMA,2019,28.5521,1.8878,61.2311,,CONEVAL anexos estatales
