cve_estado,estado,anio,tasa_hom_doloso,tasa_secuestro,tasa_feminicidio,tasa_extorsion,fuente
01,AGUASCALIENTES,2010,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
01,AGUASCALIENTES,2011,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
01,AGUASCALIENTES,2012,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
01,AGUASCALIENTES,2013,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
01,AGUASCALIENTES,2014,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
01,AGUASCALIENTES,2015,3.141,0.3831,0.0,3.2176,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
01,AGUASCALIENTES,2016,3.1594,0.1504,0.0,5.2657,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
01,AGUASCALIENTES,2017,6.1326,0.4433,0.0,9.2358,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
01,AGUASCALIENTES,2018,5.5899,0.9437,0.2904,10.1635,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
01,AGUASCALIENTES,2019,7.2777,0.9275,0.3567,8.562,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
01,AGUASCALIENTES,2020,5.6818,1.5432,0.2104,8.1369,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
01,AGUASCALIENTES,2021,5.8634,0.2759,0.6208,6.4842,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
01,AGUASCALIENTES,2022,5.3606,0.4071,0.6786,7.4641,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
01,AGUASCALIENTES,2023,6.3427,0.1335,0.2003,7.945,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
01,AGUASCALIENTES,2024,7.8194,0.1314,0.46,7.2937,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
02,BAJA CALIFORNIA,2010,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
02,BAJA CALIFORNIA,2011,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
02,BAJA CALIFORNIA,2012,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
02,BAJA CALIFORNIA,2013,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
02,BAJA CALIFORNIA,2014,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
02,BAJA CALIFORNIA,2015,25.9673,0.6066,0.2888,6.4702,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
02,BAJA CALIFORNIA,2016,35.3064,0.4257,0.369,5.1654,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
02,BAJA CALIFORNIA,2017,64.4939,0.3626,0.3068,5.5791,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
02,BAJA CALIFORNIA,2018,85.8969,0.4114,0.7679,3.7025,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
02,BAJA CALIFORNIA,2019,77.2732,0.3506,0.6473,5.9067,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
02,BAJA CALIFORNIA,2020,78.0044,0.4776,0.849,3.3696,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
02,BAJA CALIFORNIA,2021,79.1037,0.7571,0.5482,4.4382,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
02,BAJA CALIFORNIA,2022,70.0445,0.6938,0.6681,4.4195,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
02,BAJA CALIFORNIA,2023,61.1403,0.2783,0.5059,2.7826,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
02,BAJA CALIFORNIA,2024,59.0096,0.4733,0.9465,2.4411,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
03,BAJA CALIFORNIA SUR,2010,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
03,BAJA CALIFORNIA SUR,2011,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
03,BAJA CALIFORNIA SUR,2012,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
03,BAJA CALIFORNIA SUR,2013,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
03,BAJA CALIFORNIA SUR,2014,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
