cve_estado,estado,anio,comision_busqueda_titular,anio_primer_titular,confianza_titular,fuente
01,AGUASCALIENTES,2010,0,2020,alta,Catálogo titular: NW Noticias 2020-07-17 (confianza=alta)
01,AGUASCALIENTES,2011,0,2020,alta,Catálogo titular: NW Noticias 2020-07-17 (confianza=alta)
01,AGUASCALIENTES,2012,0,2020,alta,Catálogo titular: NW Noticias 2020-07-17 (confianza=alta)
01,AGUASCALIENTES,2013,0,2020,alta,Catálogo titular: NW Noticias 2020-07-17 (confianza=alta)
01,AGUASCALIENTES,2014,0,2020,alta,Catálogo titular: NW Noticias 2020-07-17 (confianza=alta)
01,AGUASCALIENTES,2015,0,2020,alta,Catálogo titular: NW Noticias 2020-07-17 (confianza=alta)
01,AGUASCALIENTES,2016,0,2020,alta,Catálogo titular: NW Noticias 2020-07-17 (confianza=alta)
01,AGUASCALIENTES,2017,0,2020,alta,Catálogo titular: NW Noticias 2020-07-17 (confianza=alta)
01,AGUASCALIENTES,2018,0,2020,alta,Catálogo titular: NW Noticias 2020-07-17 (confianza=alta)
01,AGUASCALIENTES,2019,0,2020,alta,Catálogo titular: NW Noticias 2020-07-17 (confianza=alta)
01,AGUASCALIENTES,2020,1,2020,alta,Catálogo titular: NW Noticias 2020-07-17 (confianza=alta)
01,AGUASCALIENTES,2021,1,2020,alta,Catálogo titular: NW Noticias 2020-07-17 (confianza=alta)
01,AGUASCALIENTES,2022,1,2020,alta,Catálogo titular: NW Noticias 2020-07-17 (confianza=alta)
01,AGUASCALIENTES,2023,1,2020,alta,Catálogo titular: NW Noticias 2020-07-17 (confianza=alta)
01,AGUASCALIENTES,2024,1,2020,alta,Catálogo titular: NW Noticias 2020-07-17 (confianza=alta)
02,BAJA CALIFORNIA,2010,0,2019,media,Catálogo titular: Puntonorte/Proceso 2019 (confianza=media)
02,BAJA CALIFORNIA,2011,0,2019,media,Catálogo titular: Puntonorte/Proceso 2019 (confianza=media)
02,BAJA CALIFORNIA,2012,0,2019,media,Catálogo titular: Puntonorte/Proceso 2019 (confianza=media)
02,BAJA CALIFORNIA,2013,0,2019,media,Catálogo titular: Puntonorte/Proceso 2019 (confianza=media)
02,BAJA CALIFORNIA,2014,0,2019,media,Catálogo titular: Puntonorte/Proceso 2019 (confianza=media)
02,BAJA CALIFORNIA,2015,0,2019,media,Catálogo titular: Puntonorte/Proceso 2019 (confianza=media)
02,BAJA CALIFORNIA,2016,0,2019,media,Catálogo titular: Puntonorte/Proceso 2019 (confianza=media)
02,BAJA CALIFORNIA,2017,0,2019,media,Catálogo titular: Puntonorte/Proceso 2019 (confianza=media)
02,BAJA CALIFORNIA,2018,0,2019,media,Catálogo titular: Puntonorte/Proceso 2019 (confianza=media)
02,BAJA CALIFORNIA,2019,1,2019,media,Catálogo titular: Puntonorte/Proceso 2019 (confianza=media)
02,BAJA CALIFORNIA,2020,1,2019,media,Catálogo titular: Puntonorte/Proceso 2019 (confianza=media)
02,BAJA CALIFORNIA,2021,1,2019,media,Catálogo titular: Puntonorte/Proceso 2019 (confianza=media)
02,BAJA CALIFORNIA,2022,1,2019,media,Catálogo titular: Puntonorte/Proceso 2019 (confianza=media)
02,BAJA CALIFORNIA,2023,1,2019,media,Catálogo titular: Puntonorte/Proceso 2019 (confianza=media)
02,BAJA CALIFORNIA,2024,1,2019,media,Catálogo titular: Puntonorte/Proceso 2019 (confianza=media)
03,BAJA CALIFORNIA SUR,2010,0,2020,baja,Catálogo titular: CNB/ODIM 2020 (confianza=baja)
03,BAJA CALIFORNIA SUR,2011,0,2020,baja,Catálogo titular: CNB/ODIM 2020 (confianza=baja)
03,BAJA CALIFORNIA SUR,2012,0,2020,baja,Catálogo titular: CNB/ODIM 2020 (confianza=baja)
03,BAJA CALIFORNIA SUR,2013,0,2020,baja,Catálogo titular: CNB/ODIM 2020 (confianza=baja)
03,BAJA CALIFORNIA SUR,2014,0,2020,baja,Catálogo titular: CNB/ODIM 2020 (confianza=baja)
03,BAJA CALIFORNIA SUR,2015,0,2020,baja,Catálogo titular: CNB/ODIM 2020 (confianza=baja)
03,BAJA CALIFORNIA SUR,2016,0,2020,baja,Catálogo titular: CNB/ODIM 2020 (confianza=baja)
03,BAJA CALIFORNIA SUR,2017,0,2020,baja,Catálogo titular: CNB/ODIM 2020 (confianza=baja)
