cve_estado,estado,desap_count_acum
28,TAMAULIPAS,11602
14,JALISCO,10767
15,ESTADO DE MEXICO,8577
16,MICHOACAN,6242
19,NUEVO LEON,6132
30,VERACRUZ,6129
25,SINALOA,5622
26,SONORA,4842
11,GUANAJUATO,4350
09,CIUDAD DE MEXICO,4177
08,CHIHUAHUA,3531
12,GUERRERO,3510
32,ZACATECAS,3440
02,BAJA CALIFORNIA,3120
05,COAHUILA,2715
21,PUEBLA,1928
27,TABASCO,1922
17,MORELOS,1703
18,NAYARIT,1459
07,CHIAPAS,1381
23,QUINTANA ROO,1242
13,HIDALGO,1137
06,COLIMA,1059
24,SAN LUIS POTOSI,1008
10,DURANGO,806
03,BAJA CALIFORNIA SUR,743
20,OAXACA,544
22,QUERETARO,513
01,AGUASCALIENTES,318
31,YUCATAN,239
29,TLAXCALA,145
04,CAMPECHE,96
