anio,banda_edad,personas,pct,fuente
2010,0-17,170,4.06,"RNPDNO estatus 7, panel municipal"
2010,18-29,1590,37.94,"RNPDNO estatus 7, panel municipal"
2010,30-44,1582,37.75,"RNPDNO estatus 7, panel municipal"
2010,45-59,566,13.51,"RNPDNO estatus 7, panel municipal"
2010,60+,150,3.58,"RNPDNO estatus 7, panel municipal"
2010,Sin edad,133,3.17,"RNPDNO estatus 7, panel municipal"
2011,0-17,216,4.2,"RNPDNO estatus 7, panel municipal"
2011,18-29,2100,40.79,"RNPDNO estatus 7, panel municipal"
2011,30-44,1754,34.07,"RNPDNO estatus 7, panel municipal"
2011,45-59,690,13.4,"RNPDNO estatus 7, panel municipal"
2011,60+,246,4.78,"RNPDNO estatus 7, panel municipal"
2011,Sin edad,142,2.76,"RNPDNO estatus 7, panel municipal"
2012,0-17,217,5.16,"RNPDNO estatus 7, panel municipal"
2012,18-29,1763,41.96,"RNPDNO estatus 7, panel municipal"
2012,30-44,1385,32.96,"RNPDNO estatus 7, panel municipal"
2012,45-59,520,12.38,"RNPDNO estatus 7, panel municipal"
2012,60+,201,4.78,"RNPDNO estatus 7, panel municipal"
2012,Sin edad,116,2.76,"RNPDNO estatus 7, panel municipal"
2013,0-17,224,4.91,"RNPDNO estatus 7, panel municipal"
2013,18-29,1967,43.15,"RNPDNO estatus 7, panel municipal"
2013,30-44,1492,32.73,"RNPDNO estatus 7, panel municipal"
2013,45-59,534,11.71,"RNPDNO estatus 7, panel municipal"
2013,60+,245,5.37,"RNPDNO estatus 7, panel municipal"
2013,Sin edad,97,2.13,"RNPDNO estatus 7, panel municipal"
2014,0-17,266,5.88,"RNPDNO estatus 7, panel municipal"
2014,18-29,1934,42.79,"RNPDNO estatus 7, panel municipal"
2014,30-44,1478,32.7,"RNPDNO estatus 7, panel municipal"
2014,45-59,556,12.3,"RNPDNO estatus 7, panel municipal"
2014,60+,203,4.49,"RNPDNO estatus 7, panel municipal"
2014,Sin edad,83,1.84,"RNPDNO estatus 7, panel municipal"
