anio,hombres,mujeres,total,pct_hombres,fuente
2010,3556,634,4191,84.85,"RNPDNO estatus 7, panel ML"
2011,4109,1038,5148,79.82,"RNPDNO estatus 7, panel ML"
2012,3350,848,4202,79.72,"RNPDNO estatus 7, panel ML"
2013,3679,876,4559,80.7,"RNPDNO estatus 7, panel ML"
2014,3597,917,4520,79.58,"RNPDNO estatus 7, panel ML"
2015,3246,864,4115,78.88,"RNPDNO estatus 7, panel ML"
2016,4202,1292,5499,76.41,"RNPDNO estatus 7, panel ML"
2017,5493,1386,6888,79.75,"RNPDNO estatus 7, panel ML"
2018,5490,1329,6839,80.27,"RNPDNO estatus 7, panel ML"
2019,6734,1475,8291,81.22,"RNPDNO estatus 7, panel ML"
2020,6203,1593,7802,79.51,"RNPDNO estatus 7, panel ML"
2021,6142,1698,7842,78.32,"RNPDNO estatus 7, panel ML"
2022,6512,1722,8247,78.96,"RNPDNO estatus 7, panel ML"
2023,8019,2292,10316,77.73,"RNPDNO estatus 7, panel ML"
2024,9560,2969,12540,76.24,"RNPDNO estatus 7, panel ML"
